población,-0.2
obra,0.2
dormir,1
dar,0.8
realizar,0.6
haber,0
amor,1
aparecer,0
seguir,0.4
especie,0.2
dejar,-0.4
nombre,0.1667
solo,0
corazón,0.8
lograr,1
entender,1
acercar,0.2
grande,0.2
ojo,0.2
bueno,1
trabajar,0.6
permitir,0.8
junto,0.4
hablar,0.2
hacer,0.4
tiempo,0
nuevo,0.8
mirada,0.4
entrar,0.2
cuerpo,0
tipo,-0.2
cosa,0
volver,-0.4
propio,0.4
más,0.8
llamar,0.2
canción,1
alcanzar,1
pensar,0.8
agua,0.6
aire,0.6
jugar,1
voz,0.4
poder,0.4
sentar,0.4
mar,0.8
mirar,0.4
río,0.6
dolor,-1
caso,0
mantener,-0.2
historia,0.4
región,0
abrir,0.4
último,-0.4
hermano,0.6
lugar,0
presentar,0.4
producir,0.4
estar,0.8
venir,0.4
palabra,0
habitante,0.5
fin,0
sólo,0
alma,0.5
rey,-0.1667
mundo,0.4
ser,0.8
número,0.1667
considerar,0.3333
querer,1
recordar,0.3333
amar,1
creer,0.6
pedir,-0.5
caer,-0.5
siguiente,0.1667
trabajo,0.3333
nacional,0.4
convertir,-0.2
tener,0.6
lado,0
punto,0
esperar,-0.8
amigo,1
manera,0
total,0
ubicar,-0.2
crear,1
calle,0
terminar,0.2
forma,0.2
sistema,0.2
año,0
existir,0.6
hijo,0.6
partir,0
comenzar,0.6
luz,0.6
buscar,0.2
paso,0
vida,0.8
país,0.2
encontrar,0.6
decidir,0.2
parte,0
noche,0.6
llevar,0
poner,0.4
hora,0
incluir,0.2
decir,0.2
escuchar,0.4
perder,-1
grupo,0.6
libro,0.6
fuerza,0.4
familia,1
llegar,0.4
cielo,0.8
zona,0
verdad,0.8
persona,0.4
norte,0.2
hombre,0.4
cuenta,0
puerta,0
dirigir,0
momento,0.2
muerte,-0.8
municipio,0
tratar,0.2
quedar,0
unir,0.4
cabeza,0
tierra,0.4
mismo,0.2
centro,0.4
aun,0
casa,0.8
gente,0.4
principal,0.4
tan,0
mejor,0.6667
preguntar,0.2
saber,1
formar,0.4
único,0.4
vez,0
camino,0.6
recuerdo,0.2
mujer,0.6
conocer,0.8
parecer,0.4
olvidar,0
metro,0.1667
importante,0.3333
universidad,0.7143
siglo,0
color,0.4
pasar,0
correr,0.8
mano,0.2
contar,0.4
deber,-0.4
salir,0.6
vivir,0.8
estado,-0.2
ver,0.4
pequeño,0.8
padre,1
gobierno,0
condado,0
utilizar,0.1667
madre,1
sentir,0.6
tanto,0
cambiar,0.3333
final,0.2857
escribir,0.2
día,0.4
sueño,0.4
usar,0
empezar,0.4
tomar,0
pesar,-0.6
equipo,0.8
ciudad,0.4
juego,1
provincia,0.6
gran,0.4
general,0.2
morir,-0.6
nacer,0.8
niño,0.8
mayor,0.3333
recibir,0.6667
serie,0.3333
silencio,0.6667
realidad,0.3333
real,0.3333
proyecto,0.5
estudio,0.5
tocar,0.3333
conseguir,0.3333
película,0
mes,0.2
sol,0.4
diferente,0.6
ganar,0.6
isla,0.8
censo,0
intentar,0.8
mostrar,0.6
viejo,-0.2
humano,0.8
caminar,0.8
pie,0
orden,0.1667
gustar,0.8333
llorar,-0.8333
levantar,-0.2
cara,0.4
rostro,0.2
señor,-0.2
música,1
raza,-0.2
idea,0.8
viento,0.6
iglesia,-0.6
través,0
problema,-0.8
álbum,0.2
desear,0.6
boca,0.4
mente,0.6
imagen,0.4
miedo,-1
época,0
acabar,0.2
piel,0.6
carrera,0.2
construir,0.8
obtener,0.4
brazo,0.2
fuerte,0.8
demografía,0
club,0.6667
publicar,0.1667
resto,0.1667
observar,0.3333
situar,0
temporada,0.3333
lanzar,0.3333
cerrar,-0.3333
servicio,0.6
beso,1
presidente,-0.2
sentido,0.4
sonrisa,1
necesitar,0.4
razón,0.6
miembro,0.2
movimiento,0.6
regresar,0.4
relación,1
frente,0
escuela,0.8
papel,0.4
línea,0.2
destacar,0.6
ejemplo,0.2
descubrir,1
servir,0
arte,1
sangre,0
estrella,1
edad,0
derecho,0.2
labio,0.4
dios,0
pertenecer,0.4
continuar,0.6
matar,-1
participar,0.8
posible,0.8
pueblo,0.6
medio,-0.2
despertar,0.8
espacio,0.4
distrito,0
minuto,-0.2
cantar,0.8
igual,0.2857
departamento,0.2
sacar,0.2
nada,0
cambio,0.6
gracia,0.8
blanco,0.2
personaje,0.8
semana,0
ocupar,-0.2
bajo,0
antiguo,0.6
localidad,0
lleno,0.2
ocurrir,0.4
principio,0.4
negro,0.4
oscuro,0
ejército,-0.4
densidad,0
hermoso,1
feliz,1
poblacional,0
situación,0
detener,0
ayudar,0.6
leer,0.8
anterior,0.2
largo,0
acompañar,0.8
abandonar,-0.8
distinto,0.2
social,0.4
título,-0.2
origen,0.2
desarrollar,0.2
actual,0
bello,0.8
mayoría,-0.2
dedicar,0.4
área,0.2
chico,0.4
importar,0.4
clase,0.4
político,-0.8
internacional,0.4
especial,0.6
sentimiento,0.4
alto,0.2
nivel,0.2
árbol,0.6
disco,0.4
pensamiento,0.6
cama,0.6
extraño,0.2
reconocer,0.4
sufrir,-0.6
superficie,0.2
actividad,0.6
programa,0
edificio,0
responder,0.4286
comer,0.4
representar,0.4
iniciar,0.6
establecer,0.1667
estación,0.3333
hecho,0.1667
mundial,0.3333
suelo,0.5
oficina,0.2
ventana,0.8
empresa,0
éxito,0.8
poseer,0.6
ley,0
compañía,1
suceder,0.4
instante,0.4
cubrir,0.4
sociedad,0.6
reír,1
traer,0
versión,0
lengua,0.2
uso,0
cantón,0.2
entregar,0.4
comprender,0.6667
vivo,0.5
territorio,0.1667
luna,0.8333
vuelta,0.1667
ofrecer,0.75
destino,0.4
hoja,0.4
sombra,0.4
diverso,0.4
base,0
público,0.2
mover,0.2
libre,0.8
batalla,-0.6
fondo,0
acariciar,0.8
millón,0
fuego,0.8
flor,1
don,0.8
resultar,0
planta,1
acuerdo,0.4
nombrar,0
joven,0.2
crecer,0.8
premio,0.8
componer,0.6
viaje,0.6
modo,0
sonido,0.6
compañero,0.6
suponer,0
desarrollo,0.6
menor,0
construcción,0.4
soler,0.2
animal,0.8
popular,0
soñar,1
fundar,0
volar,0.6
rojo,0.2
cargo,0.2
contener,0.2
fútbol,-0.2
valor,0.4
proceso,0
gritar,-0.4
estilo,0.4
presencia,0.2
común,0
ocasión,0.4
letra,0
lluvia,0.6
división,0
allá,0
estudiar,0.2
término,0
reino,0.4
triste,-1
lágrima,-0.1667
producción,0.5
dirección,0.1667
romper,0
república,0.3333
respuesta,0.1667
acción,0.6
necesario,0
natural,0.8
subir,0.4
autor,0.2
disponer,0.4
soledad,-0.6
malo,-1
oficial,0
televisión,0.2
cabo,-0.2
todavía,0.4
geografía,0.2
desaparecer,0
separar,-0.2
económico,0.2
significar,0
favor,0.6
jamás,-0.2
director,0
corresponder,0.2
habitación,0
género,0
comunidad,0.6
cierto,0.4
puerto,0.4
sonreír,1
deseo,0.4
aceptar,0.6
posición,0.2
década,0.2
verde,0.4
dedo,0.2
alejar,0
esposo,-0.2
pared,-0.4
besar,0.6
basar,0.2
barrio,0.4
efecto,0.4
escapar,-0.2
cruzar,0.2
oír,0.6
parque,0.8
fiesta,0.4
imaginar,0.6
perro,0.2
permanecer,0.6
evitar,-0.2
bajar,0
casar,0.5
elegir,0.8
recorrer,0.2
cumplir,0.8
fuente,0.2
segundo,0
memoria,0.2
esconder,-0.4
cultura,0.8
resultado,0.2
nuevamente,0
pecho,0.1667
profesor,0.2
formular,0
capital,-0.2
existencia,0.6
episodio,0.2
verdadero,1
figura,0
denominar,0
jefe,-0.4
pena,-0.8
comprar,0.8
carta,0
notar,0
mandar,0
atrás,-0.2
marcar,0
grito,-0.6
demasiado,-0.4
provocar,-0.2
elección,0.2
acto,0
modelo,0.2
jugador,0.8
libertad,1
celebrar,1
espalda,0.2
sitio,0.2
escritor,1
siquiera,0
explicar,0.6
cantidad,0
unión,0.8
lagrimar,-0.4
apenas,0
aprender,1
arma,-1
hallar,0.8
distancia,-0.2
simple,0.8
teatro,1
par,0.6
andar,0.8
futuro,0.8
eterno,0.8
condición,0
militar,-0.2
cuento,1
ángel,0.4
golpe,-0.8
objeto,0.2
organización,0
abuelo,0.8
radio,0.6
difícil,0
viajar,1
capaz,1
montaña,0.6
esperanza,0.8
rodear,0.4
preparar,0.4
pierna,0.4
canal,0.4
numeroso,0
vestir,0
elemento,0.2
control,-0.2
calor,0.4
oeste,0
función,0
atención,0.4
compartir,0.8
necesidad,0
musical,1
piso,0
seguro,0.8
ingreso,0.2
vender,0
simplemente,0.4
completo,0.4
interés,0.4
causar,0
verano,1
ala,0.6
mitad,0
ciencia,0.6
hogar,1
faltar,-0.4
rápido,0
partido,0.2
enorme,0.2
nube,0.6
falta,-0.2
guardar,0
mesa,0
extender,0
oro,0.4
juntar,0.4
similar,0
enviar,0
histórico,-0.2
interpretar,0.6
piedra,0
frío,-0.6
museo,0.8
original,0.8
civil,0
luchar,0.1667
campo,1
medida,0
plan,0.3333
apoyar,0.4
información,0.2
producto,0
unidad,0.4
cercano,0.4
energía,0.8
alegría,1
ayuda,0.6
llenar,0.4
colocar,0
avanzar,0.6
encuentro,1
especialmente,0.2
